sure thing,confirm
one hundred,confirm
one hundred percent, confirm
one hundred percent correct,confirm
yup one hundred,confirm
yeah thats right,confirm
you got it,confirm
yup,confirm
thats correct,confirm
uh huh,confirm
thats right,confirm
yessir,confirm
thats perfect,confirm
yep exactly,confirm
absolutely,confirm
for sure,confirm
definitely,confirm
thats it,confirm
right on,confirm
youre right,confirm
exactly,confirm
righto,confirm
thats the one,confirm
spot on,confirm
sure do,confirm
thats the ticket,confirm
affirmative,confirm
roger that,confirm
correctamundo,confirm
got it,confirm
you bet,confirm
sounds good,confirm
right you are,confirm
sure thing buddy,confirm
indubitably,confirm
nailed it,confirm
you got that right,confirm
all good,confirm
sure did,confirm
thats the truth,confirm
thats accurate,confirm
you know it,confirm
yes indeed,confirm
precisely,confirm
thats so,confirm
youre correct,confirm
affirmative chief,confirm
indeed,confirm
right on the money,confirm
youve got it,confirm
dead right,confirm
i agree,confirm
that works,confirm
youre spot on,confirm
its true,confirm
yes maam,confirm
thats right yeah,confirm
right as rain,confirm
perfecto,confirm
yesss,confirm
without a doubt,confirm
absolutely right,confirm
yea thats it,confirm
totally,confirm
uh huh thats right,confirm
thats the way,confirm
for sure thats it,confirm
bingo,confirm
oh yeah,confirm
on the dot,confirm
true dat,confirm
exactly right,confirm
thats the one yeah,confirm
yup you got it,confirm
couldnt agree more,confirm
yeah man,confirm
you got me,confirm
no doubt,confirm
betcha,confirm
right as can be,confirm
yep that works,confirm
yes that is right,confirm
youre bang on,confirm
word,confirm
yea thats it,confirm
righto mate,confirm
roger,confirm
exactly that,confirm
gotcha,confirm
you hit it,confirm
that is correct,confirm
bang on,confirm
yea you got it,confirm
yes thats accurate,confirm
correctly,confirm
youre right on,confirm
uh huh you got it,confirm
thats exactly it,confirm
spot on you got it,confirm
uh huh yea,confirm
that is right,confirm
yep for sure,confirm
oh absolutely,confirm
that works for me,confirm
that is spot on,confirm
definitely right,confirm
uh huh correct,confirm
yeah thats good,confirm
sure sure,confirm
for certain,confirm
correctamundo buddy,confirm
affirmative boss,confirm
without question,confirm
true that,confirm
oh yes,confirm
you got it correct,confirm
couldnt have said better,confirm
thats right on,confirm
bingo you got it,confirm
thats right indeed,confirm
on point,confirm
thats exactly right,confirm
totally right,confirm
youre on it,confirm
yes you hit it,confirm
yeah that works,confirm
agreed,confirm
yup sounds good,confirm
absolutely true,confirm
yeah buddy,confirm
yup totally,confirm
yup thats right,confirm
indeed you got it,confirm
for real,confirm
you got that,confirm
all correct,confirm
sure is,confirm
yup that is correct,confirm
you got it spot on,confirm
uh huh for sure,confirm
sure is boss,confirm
you got it right,confirm
that is totally right,confirm
thats absolutely right,confirm
sure thing that works,confirm
no doubt about it,confirm
alright youve got it down pat,confirm
yep thats the stuff,confirm
sounds like you nailed it,confirm
yeah man thats the one,confirm
uh huh youre on the money,confirm
thats it youve got it sussed,confirm
righto mate youve got it sorted,confirm
yup thats bang on the nose,confirm
yeah buddy youve hit the nail on the head,confirm
thats spot on mate,confirm
uh huh youve got it down,confirm
yessir thats the ticket,confirm
yeah thats ace,confirm
for sure youve got it dialed in,confirm
thats right on the button,confirm
yup youve nailed it to a t,confirm
oh yeah thats the business,confirm
uh huh youve got it locked down,confirm
thats it youve cracked it,confirm
yeah man youve got it sorted out,confirm
yep thats dead on,confirm
uh huh youve hit the bullseye,confirm
thats right youve got it sussed out,confirm
yeah buddy thats spot on,confirm
yup youve got it down pat,confirm
thats it youve nailed it,confirm
uh huh thats bang on,confirm
yeah man youve got it figured out,confirm
yep thats exactly right mate,confirm
thats correct youve got it sorted mate,confirm
uh huh youve hit the mark,confirm
yeah thats the ticket buddy,confirm
yup youve got it down to a science,confirm
thats right youve hit the nail on the head,confirm
uh huh youve got it all figured out,confirm
yeah man thats spot on the money,confirm
yep youve got it sussed mate,confirm
thats it youve got it down cold,confirm
uh huh youve nailed it perfectly,confirm
yeah buddy thats exactly right,confirm
yup thats dead on target,confirm
thats correct youve got it dialed in mate,confirm
uh huh youve hit it out of the park,confirm
yeah man youve got it down to a t,confirm
yep thats absolutely spot on,confirm
thats right youve got it locked and loaded,confirm
uh huh youve hit the bulls eye mate,confirm
yeah buddy youve got it all worked out,confirm
yup thats right on the money,confirm
thats it youve got it nailed down,confirm
uh huh youve got it sorted perfectly,confirm
yeah man thats exactly what i meant,confirm
yep youve got it figured out mate,confirm
thats correct youve hit the mark perfectly,confirm
uh huh youve got it down like a pro,confirm
yeah buddy thats spot on the button,confirm
yup youve nailed it right on the head,confirm
thats right youve got it all sussed out,confirm
uh huh youve hit it perfectly mate,confirm
yeah man youve got it down pat buddy,confirm
yep thats exactly what i was thinking,confirm
thats it youve got it all worked out mate,confirm
uh huh youve nailed it to perfection,confirm
yeah buddy thats right on target,confirm
yup youve got it figured out perfectly,confirm
thats correct youve hit the nail right on,confirm
uh huh youve got it down to a science mate,confirm
yeah man thats exactly what i wanted,confirm
yep youve got it all sorted out buddy,confirm
thats right youve nailed it perfectly mate,confirm
uh huh youve hit it out of the ballpark,confirm
yeah buddy youve got it dialed in perfectly,confirm
yup thats exactly what i had in mind,confirm
thats it youve got it all figured out mate,confirm
uh huh youve nailed it right on the money,confirm
yeah man youve got it locked down perfectly,confirm
yep thats exactly what i was after,confirm
thats correct youve hit it on the nose mate,confirm
uh huh youve got it sorted out perfectly,confirm
yeah buddy youve nailed it to a t mate,confirm
yup thats exactly what i needed,confirm
thats right youve got it all worked out perfectly,confirm
uh huh youve hit it spot on mate,confirm
yeah man youve got it sussed out perfectly,confirm
yep thats exactly what i was looking for,confirm
thats it youve nailed it down perfectly mate,confirm
uh huh youve got it figured out to a t,confirm
yeah buddy youve hit it right on the button,confirm
yup thats exactly what i wanted to hear,confirm
thats correct youve got it all sorted perfectly,confirm
uh huh youve nailed it perfectly mate,confirm
yeah man youve got it down like a champ,confirm
yep thats exactly what i was hoping for,confirm
thats right youve hit it out of the park mate,confirm
uh huh youve got it dialed in perfectly buddy,confirm
yeah buddy youve nailed it right on target,confirm
yup thats exactly what i needed to know,confirm
thats it youve got it all figured out perfectly mate,confirm
uh huh youve hit it on the money buddy,confirm
yeah man youve got it locked down like a pro,confirm
yep thats exactly what i was expecting,confirm
thats correct youve nailed it to perfection mate,confirm
uh huh youve got it sussed out like a boss,confirm
yeah buddy youve hit it right on the nose,confirm
yup thats exactly what i was asking for,confirm
thats right youve got it all worked out perfectly mate,confirm
uh huh youve nailed it down to a science buddy,confirm
yeah man youve got it figured out like a pro,confirm
yep thats exactly what i wanted to confirm,confirm
thats it youve hit it perfectly mate,confirm
uh huh youve got it sorted out like a champ,confirm
yeah buddy youve nailed it right on the head mate,confirm
yup thats exactly what i needed to confirm,confirm
thats correct youve got it all dialed in perfectly,confirm
uh huh youve hit it out of the ballpark buddy,confirm
yeah man youve got it locked down to a t,confirm
yep thats exactly what i was trying to say,confirm
thats right youve nailed it perfectly mate,confirm
uh huh youve got it sussed out to perfection,confirm
yeah buddy youve hit it right on the money mate,confirm
yup thats exactly what i meant to say,confirm
thats it youve got it all figured out like a pro,confirm
uh huh youve nailed it down perfectly buddy,confirm
yeah man youve got it sorted out to a t,confirm
yep thats exactly what i was getting at,confirm
thats correct youve hit it spot on mate,confirm
uh huh youve got it dialed in like a champ,confirm
yeah buddy youve nailed it right on target mate,confirm
yup thats exactly what i was talking about,confirm
thats right youve got it all worked out like a boss,confirm
uh huh youve hit it perfectly buddy,confirm
yeah man youve got it sussed out like a pro,confirm
yep thats exactly what i was referring to,confirm
thats it youve nailed it to perfection mate,confirm
uh huh youve got it figured out perfectly buddy,confirm
yeah buddy youve hit it right on the button mate,confirm
yup thats exactly what i meant to confirm,confirm
thats correct youve got it all sorted out like a champ,confirm
uh huh youve nailed it down to a t buddy,confirm
yeah man youve got it locked down perfectly mate,confirm
yep thats exactly what i wanted to verify,confirm
thats right youve hit it out of the park like a pro,confirm
uh huh youve got it dialed in perfectly mate,confirm
yeah buddy youve nailed it right on the nose buddy,confirm
yup thats exactly what i needed to verify,confirm
thats it youve got it all figured out to perfection,confirm
uh huh youve hit it on the money like a champ,confirm
yeah man youve got it sorted out perfectly mate,confirm
yep thats exactly what i was trying to confirm,confirm
thats correct youve nailed it perfectly buddy,confirm
uh huh youve got it sussed out to a t mate,confirm
yeah buddy youve hit it right on the head like a pro,confirm
yup thats exactly what i wanted to double check,confirm
sure as shootin,confirm
reckon youve got it,confirm
thats the ticket pardner,confirm
aint that the truth,confirm
ya darn tootin,confirm
youre on the ball,confirm
